Year,Month,Value
1921,6,-1.05
1921,7,-1.58
1921,8,-2.01
1921,9,-1.5
1921,10,-1.58
1921,11,-0.81
1921,12,0
1922,1,0.07
1922,2,-1.26
1922,3,-1.63
1922,4,-1.81
1922,5,-1.89
1922,6,-1.27
1922,7,-0.74
1922,8,-0.56
1922,9,-0.49
1922,10,-0.27
1922,11,-0.74
1922,12,0.46
1923,1,0.24
1923,2,-0.75
1923,3,-1.01
1923,4,-0.51
1923,5,0.18
1923,6,-0.98
1923,7,0.6
1923,8,0.21
1923,9,-0.25
1923,10,0.26
1923,11,-0.26
1923,12,-0.22
1924,1,-0.7
1924,2,-0.67
1924,3,-0.47
1924,4,-1.23
1924,5,-0.53
1924,6,-0.39
1924,7,-1.01
1924,8,-1.41
1924,9,-1.73
1924,10,-2.13
1924,11,-1.4
1924,12,-0.27
1925,1,-0.93
1925,2,-0.62
1925,3,-0.65
1925,4,-1.14
1925,5,-0.51
1925,6,-1.03
1925,7,-0.69
1925,8,-0.72
1925,9,0.09
1925,10,0.26
1925,11,0.94
1925,12,0.72
1926,1,1.12
1926,2,1.26
1926,3,1.23
1926,4,1.81
1926,5,2.29
1926,6,1.63
1926,7,2.14
1926,8,1.7
1926,9,1.62
1926,10,1.79
1926,11,2.55
1926,12,2.11
1927,1,0.91
1927,2,1.33
1927,3,0.89
1927,4,-0.03
1927,5,-0.12
1927,6,0.56
1927,7,-0.28
1927,8,-0.76
1927,9,0.03
1927,10,-0.63
1927,11,-0.24
1927,12,-0.08
1928,1,0.45
1928,2,0.75
1928,3,0.88
1928,4,0.42
1928,5,0.48
1928,6,0.96
1928,7,-0.68
1928,8,-0.86
1928,9,-1.79
1928,10,-1.05
1928,11,0.09
1928,12,0.6
1929,1,0.83
1929,2,0.24
1929,3,0.04
1929,4,0.23
1929,5,0.48
1929,6,0.6
1929,7,0.03
1929,8,-0.12
1929,9,1.01
1929,10,1.02
1929,11,0.64
1929,12,1.55
1930,1,1.29
1930,2,0.77
1930,3,0.3
1930,4,0.19
1930,5,0.1
1930,6,0.02
1930,7,0
1930,8,-0.2
1930,9,0.33
1930,10,0.01
1930,11,-0.02
1930,12,0.84
1931,1,1.25
1931,2,1.18
1931,3,1.14
1931,4,1.61
1931,5,2
1931,6,1.76
1931,7,2.08
1931,8,0.74
1931,9,0.85
1931,10,0.09
1931,11,-0.21
1931,12,-0.84
1932,1,-1.22
1932,2,-1.63
1932,3,-0.65
1932,4,0.49
1932,5,-0.03
1932,6,-0.15
1932,7,-0.23
1932,8,-0.29
1932,9,-1.14
1932,10,-0.02
1932,11,-0.32
1932,12,0.16
1933,1,-0.7
1933,2,-1.08
1933,3,-1.05
1933,4,-0.84
1933,5,-1.83
1933,6,-2.36
1933,7,-3.32
1933,8,-2.92
1933,9,-2.97
1933,10,-1.83
1933,11,-0.49
1933,12,-0.66
1934,1,-0.41
1934,2,0.1
1934,3,0.88
1934,4,1.26
1934,5,0.79
1934,6,-0.27
1934,7,0.18
1934,8,1.23
1934,9,1.13
1934,10,1.91
1934,11,1.64
1934,12,1.51
1935,1,0.72
1935,2,0.11
1935,3,-0.26
1935,4,0.1
1935,5,0.73
1935,6,1.23
1935,7,0.62
1935,8,0.35
1935,9,0.42
1935,10,0.4
1935,11,0.23
1935,12,1.53
1936,1,2.17
1936,2,1.6
1936,3,1.19
1936,4,1.19
1936,5,1.64
1936,6,2.24
1936,7,2.79
1936,8,1.95
1936,9,0.98
1936,10,2.15
1936,11,2.83
1936,12,1.52
1937,1,0.06
1937,2,-0.45
1937,3,-0.28
1937,4,-0.69
1937,5,-0.39
1937,6,1.16
1937,7,-0.32
1937,8,-0.98
1937,9,0.01
1937,10,0.52
1937,11,0.97
1937,12,1.06
1938,1,1.53
1938,2,0.28
1938,3,-0.45
1938,4,-0.22
1938,5,-0.59
1938,6,-0.62
1938,7,-0.63
1938,8,-0.57
1938,9,-0.26
1938,10,0.78
1938,11,0.04
1938,12,1.14
1939,1,1.17
1939,2,-0.1
1939,3,-0.63
1939,4,0.03
1939,5,0.12
1939,6,-0.07
1939,7,-1.1
1939,8,-1.31
1939,9,-1.54
1939,10,-1.49
1939,11,-0.9
1939,12,1.44
1940,1,1.82
